pair_id,story_a_id,story_b_id,ok,error,num_events_a,num_events_b,num_matches,D_alignment,alignment_similarity,D_semantic,semantic_similarity,pred_event_rating_mean_joint
9rprs0__3986p3,9rprs0,3986p3,True,,2,1,0,1.0,0.0,1.0,0.0,1.583
9n9qs4__9dtapa,9n9qs4,9dtapa,True,,3,7,3,0.1875,0.8125,0.45005055563524365,0.5499494443647563,2.260804036092246
5w3bgs__7au7vs,5w3bgs,7au7vs,True,,1,6,0,1.0,0.0,1.0,0.0,1.583
30ynhu__3l0qyk,30ynhu,3l0qyk,True,,2,1,0,1.0,0.0,1.0,0.0,1.583
6uf7ty__9jvbv3,6uf7ty,9jvbv3,True,,8,3,0,1.0,0.0,1.0,0.0,1.583
2spi9c__2l8b74,2spi9c,2l8b74,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
2schv9__3wqhqs,2schv9,3wqhqs,True,,5,5,5,0.0,1.0,0.45089854765101334,0.5491014523489867,2.2979058463487183
9buvtz__1yzweq,9buvtz,1yzweq,True,,5,1,0,1.0,0.0,1.0,0.0,1.583
730mf1__8lcw67,730mf1,8lcw67,True,,6,7,0,1.0,0.0,1.0,0.0,1.583
26d3dg__7zh1od,26d3dg,7zh1od,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
1a5uar__3vnmg0,1a5uar,3vnmg0,True,,2,10,0,1.0,0.0,1.0,0.0,1.583
1rc1no__2v9w6p,1rc1no,2v9w6p,True,,1,2,0,1.0,0.0,1.0,0.0,1.583
337v72__5v975j,337v72,5v975j,True,,2,5,0,1.0,0.0,1.0,0.0,1.583
722n14__18ce5s,722n14,18ce5s,True,,3,10,3,0.08620689655172414,0.9137931034482758,0.35677979588508607,0.643220204114914,2.3683809348298146
30aznd__3rm2jy,30aznd,3rm2jy,True,,1,3,0,1.0,0.0,1.0,0.0,1.583
9dzpzz__29jih0,9dzpzz,29jih0,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
6plwx7__p44z2,6plwx7,p44z2,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
3fp0de__96kqec,3fp0de,96kqec,True,,3,2,0,1.0,0.0,1.0,0.0,1.583
2aer9v__9c8ip5,2aer9v,9c8ip5,True,,9,4,1,0.8461538461538461,0.15384615384615385,0.3933354392647743,0.6066645607352257,2.180656340962935
9xjd3x__971q3u,9xjd3x,971q3u,True,,4,7,3,0.35714285714285715,0.6428571428571428,0.3576655487219493,0.6423344512780507,2.31279757262
98pupx__1ojy01,98pupx,1ojy01,True,,6,2,1,0.75,0.25,0.47768492065370083,0.5223150793462992,2.1213150526015085
8l326g__2zjyg6,8l326g,2zjyg6,True,,2,4,0,1.0,0.0,1.0,0.0,1.583
9y8e9j__3b857o,9y8e9j,3b857o,True,,7,3,0,1.0,0.0,1.0,0.0,1.583
7f5ora__3lvuz1,7f5ora,3lvuz1,True,,6,5,0,1.0,0.0,1.0,0.0,1.583
3jgl49__9mp3i8,3jgl49,9mp3i8,True,,5,6,0,1.0,0.0,1.0,0.0,1.583
4y064o__5iys4x,4y064o,5iys4x,True,,1,4,0,1.0,0.0,1.0,0.0,1.583
2wge7k__2fskc9,2wge7k,2fskc9,True,,11,7,0,1.0,0.0,1.0,0.0,1.583
35o5eg__1ks3xk,35o5eg,1ks3xk,True,,2,3,0,1.0,0.0,1.0,0.0,1.583
3yuxf7__9nrnie,3yuxf7,9nrnie,True,,3,8,0,1.0,0.0,1.0,0.0,1.583
4f3sat__35x8i2,4f3sat,35x8i2,True,,3,2,0,1.0,0.0,1.0,0.0,1.583
3fks1r__15rvxl,3fks1r,15rvxl,True,,4,2,0,1.0,0.0,1.0,0.0,1.583
1ultj4__2mrsnz,1ultj4,2mrsnz,True,,1,3,0,1.0,0.0,1.0,0.0,1.583
3rsfam__9alwa4,3rsfam,9alwa4,True,,5,4,0,1.0,0.0,1.0,0.0,1.583
3g9rgq__9ur4s8,3g9rgq,9ur4s8,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
1kjvub__2ksl18,1kjvub,2ksl18,True,,5,3,0,1.0,0.0,1.0,0.0,1.583
39iaxb__326riq,39iaxb,326riq,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
9fn4bl__91gste,9fn4bl,91gste,True,,4,5,2,0.5,0.5,0.3790812473744154,0.6209187526255846,2.2639260230770333
74r1qc__7gpfjz,74r1qc,7gpfjz,True,,2,9,0,1.0,0.0,1.0,0.0,1.583
65zh1p__6plwx7,65zh1p,6plwx7,True,,1,3,0,1.0,0.0,1.0,0.0,1.583
3cdsoc__3ov6n0,3cdsoc,3ov6n0,True,,2,5,1,0.7142857142857143,0.2857142857142857,0.24297231435775757,0.7570276856422424,2.347731012764147
2trp2l__26xejp,2trp2l,26xejp,True,,8,1,0,1.0,0.0,1.0,0.0,1.583
90vqpv__9ah10q,90vqpv,9ah10q,True,,2,1,0,1.0,0.0,1.0,0.0,1.583
53azlv__1hhf0a,53azlv,1hhf0a,True,,5,2,0,1.0,0.0,1.0,0.0,1.583
1hc5m8__77b18y,1hc5m8,77b18y,True,,4,6,0,1.0,0.0,1.0,0.0,1.583
9gp3rx__5hazw8,9gp3rx,5hazw8,True,,5,4,0,1.0,0.0,1.0,0.0,1.583
887vxr__2jefth,887vxr,2jefth,True,,2,1,0,1.0,0.0,1.0,0.0,1.583
9lzoxi__5uc9ei,9lzoxi,5uc9ei,True,,4,9,2,0.36585365853658536,0.6341463414634146,0.40074802306480706,0.5992519769351929,2.2708023968695326
8h5o0z__6tgxmy,8h5o0z,6tgxmy,True,,4,11,0,1.0,0.0,1.0,0.0,1.583
35w8vc__2o4ixm,35w8vc,2o4ixm,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
2guga6__7g219e,2guga6,7g219e,True,,5,3,2,0.5555555555555556,0.4444444444444444,0.380775798112154,0.619224201887846,2.2511157043652816
2f4lal__7cl53q,2f4lal,7cl53q,True,,4,2,0,1.0,0.0,1.0,0.0,1.583
2sfnpw__38hxgf,2sfnpw,38hxgf,True,,1,6,0,1.0,0.0,1.0,0.0,1.583
9musnv__8antha,9musnv,8antha,True,,10,4,2,0.2413793103448276,0.7586206896551724,0.3282460682094097,0.6717539317905903,2.3636682382785423
9p4ej5__40bls2,9p4ej5,40bls2,True,,3,7,0,1.0,0.0,1.0,0.0,1.583
9crlw4__6o8vgu,9crlw4,6o8vgu,True,,4,2,0,1.0,0.0,1.0,0.0,1.583
8golrs__9pyg97,8golrs,9pyg97,True,,11,5,5,0.38461538461538464,0.6153846153846154,0.3682419076561928,0.6317580923438072,2.2973681132091124
2chfv3__77pan3,2chfv3,77pan3,True,,5,4,5,0.0,1.0,0.4189171500504017,0.5810828499495984,2.3277732735679297
2cc9wt__8ol6if,2cc9wt,8ol6if,True,,2,4,0,1.0,0.0,1.0,0.0,1.583
3ahbvm__1khp1i,3ahbvm,1khp1i,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
2khn79__5oezne,2khn79,5oezne,True,,4,7,0,1.0,0.0,1.0,0.0,1.583
6em8xb__4i5p4t,6em8xb,4i5p4t,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
8t5sww__3uwaqi,8t5sww,3uwaqi,True,,6,6,0,1.0,0.0,1.0,0.0,1.583
1e0coa__23900j,1e0coa,23900j,True,,5,4,1,0.7777777777777778,0.2222222222222222,0.38335247337818146,0.6166475266218185,2.2037982362232276
1uybs0__4h4iva,1uybs0,4h4iva,True,,11,8,5,0.3235294117647059,0.6764705882352942,0.28702785323063534,0.7129721467693646,2.3855593937502624
