pair_id,story_a_id,story_b_id,ok,error,num_events_a,num_events_b,num_matches,D_alignment,alignment_similarity,D_semantic,semantic_similarity,pred_event_rating_mean_joint
4dixs2__96mf2i,4dixs2,96mf2i,True,,1,2,0,1.0,0.0,1.0,0.0,1.583
8kep9i__43lveq,8kep9i,43lveq,True,,3,4,2,0.3,0.7,0.34943712999423343,0.6505628700057666,2.3320306642983852
1zrcc8__3hlps6,1zrcc8,3hlps6,True,,1,6,0,1.0,0.0,1.0,0.0,1.583
2nw0yk__2jefth,2nw0yk,2jefth,True,,1,1,0,1.0,0.0,1.0,0.0,1.583
877rd6__3cj447,877rd6,3cj447,True,,2,3,0,1.0,0.0,1.0,0.0,1.583
gsxdj__9setfd,gsxdj,9setfd,True,,2,1,0,1.0,0.0,1.0,0.0,1.583
960vyx__3shyi8,960vyx,3shyi8,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
3gsy9c__931z6c,3gsy9c,931z6c,True,,3,4,0,1.0,0.0,1.0,0.0,1.583
3utfcc__9z106r,3utfcc,9z106r,True,,1,9,0,1.0,0.0,1.0,0.0,1.583
3ajqxn__2u5t29,3ajqxn,2u5t29,True,,4,3,0,1.0,0.0,1.0,0.0,1.583
3gutcg__3azvkf,3gutcg,3azvkf,True,,6,8,0,1.0,0.0,1.0,0.0,1.583
2zt3ri__8fdz5n,2zt3ri,8fdz5n,True,,4,3,1,0.7142857142857143,0.2857142857142857,0.36115072667598724,0.6388492733240128,2.2373641935001527
1rttd0__30cc1w,1rttd0,30cc1w,True,,6,2,0,1.0,0.0,1.0,0.0,1.583
9duguw__5lgmy6,9duguw,5lgmy6,True,,3,5,1,0.75,0.25,0.3191465586423874,0.6808534413576126,2.2693740288838744
44pdt4__37t6c3,44pdt4,37t6c3,True,,1,1,0,1.0,0.0,1.0,0.0,1.583
3t1mvn__22wow9,3t1mvn,22wow9,True,,5,3,0,1.0,0.0,1.0,0.0,1.583
3j7s5q__o8s1o,3j7s5q,o8s1o,True,,1,2,1,0.3333333333333333,0.6666666666666667,0.24582016468048096,0.754179835319519,2.422061881538232
